Sale ID,Date,Brand,Model,Fuel Type,Region,Dealer,Units Sold,Unit Price (INR),Discount (%),Revenue (INR)
S0069,2026-05-10,Maruti Suzuki,Alto,ELECTRIC,South,Prime Motors,2,450000.0,7.0,837000
S0003,25-05-2026,Mahindra,XUV700,Diesel,North,Elite Auto,0,1600000.0,0.0,11200000
S0032,2026-07-07,Hyundai,Verna,Diesel,South,Elite Auto,8,1150000.0,,8740000
S0093,2026-07-02,Maruti Suzuki,Alto,CNG,West,Prime Motors,15,,2.0,6615000
S0052,06/02/2026,Maruti Suzuki,Baleno,CNG,North,City Auto Hub,12,700000.0,5.0,7980000
S0037,10-07-2026,Hyundai,Verna,cng,North,Speedway Motors,8,1150000.0,7.0,8556000
S0005,2026-01-31,Maruti Suzuki,WagonR,DIESEL,east,Speedway Motors,3,,10.0,1620000
S0001,25-01-2026,Tata,Punch,Electric,North,Prime Motors,14,700000.0,10.0,8820000
S0059,2026-07-24,Hyundai,Exter,electric,East,Prime Motors,5,750000.0,0.0,3750000
S0006,06-04-2026,Kia,Carens,Diesel,North,Elite Auto,10,1100000.0,2.0,10780000
S0062,15-05-2026,Maruti Suzuki,Alto,ELECTRIC,East,Elite Auto,3,450000.0,0.0,1350000
S0018,2026-03-01,Mahindra,XUV300,CNG,West,Metro Cars,11,950000.0,-5.0,9718500
S0002,2026-04-22,Tata,Tiago,Petrol,,City Auto Hub,1,,0.0,600000
S0085,16-03-2026,Maruti Suzuki,Brezza,CNG,North,City Auto Hub,11,1150000.0,7.0,11764500
S0042,2026-01-16,Hyundai,Exter,CNG,East,Elite Auto,7,750000.0,2.0,5145000
S0010,12/05/2026,Mahindra,Thar,Electric,,  Elite Auto  ,2,1300000.0,0.0,2600000
S0019,2026-01-04,Hyundai,Creta,Diesel,south,  City Auto Hub  ,11,1150000.0,2.0,12397000
S0085,2026-03-16,Maruti Suzuki,Brezza,CNG,north,City Auto Hub,11,1150000.0,7.0,11764500
S0028,22-02-2026,Maruti Suzuki,Alto,CNG,West,City Auto Hub,9,450000.0,0.0,4050000
S0048,2026-02-21,Maruti Suzuki,Brezza,  CNG  ,Central,Elite Auto,10,1150000.0,10.0,10350000
S0066,2026-06-18,Hyundai,Exter,Electric,SOUTH,Speedway Motors,2,750000.0,7.0,1395000
S0076,05/07/2026,Kia,Sonet,  Electric  ,East,Speedway Motors,3,800000.0,,2280000
S0078,13/06/2026,Kia,Seltos,Diesel,NORTH,Prime Motors,1,1150000.0,,1127000
S0045,2026-05-23,Honda,City,Diesel,south,Speedway Motors,10,1250000.0,0.0,12500000
S0080,2026-07-11,Kia,Sonet,ELECTRIC,east,Prime Motors,8,800000.0,0.0,6400000
S0099,2026-05-01,Hyundai,Venue,,north,Elite Auto,3,900000.0,2.0,2646000
S0054,2026-04-18,Toyota,Fortuner,Petrol,WEST,Elite Auto,7,4000000.0,5.0,26600000
S0016,21-01-2026,Honda,Amaze,diesel,South,Speedway Motors,7,,7.0,5208000
S0077,2026-02-05,Kia,Sonet,  Petrol  ,Central,Speedway Motors,12,800000.0,10.0,8640000
S0008,03-04-2026,Toyota,Urban Cruiser,CNG,West,Elite Auto,15,900000.0,7.0,12555000
S0081,09-03-2026,Kia,Seltos,Petrol,West,Metro Cars,13,1150000.0,0.0,14950000
S0031,26/07/2026,Honda,City,CNG,South,Elite Auto,13,1250000.0,2.0,15925000
S0028,22-02-2026,Maruti Suzuki,Alto,CNG,West,City Auto Hub,9,450000.0,0.0,4050000
S0063,2026-02-21,Toyota,Fortuner,Petrol,  South  ,Metro Cars,1,4000000.0,2.0,3920000
S0081,09/03/2026,Kia,Seltos,Petrol,West,Metro Cars,13,1150000.0,0.0,14950000
S0009,2026-05-15,Tata,Punch,diesel,South,Prime Motors,10,700000.0,5.0,6650000
S0074,2026-05-31,Kia,Seltos,petrol,East,  Prime Motors  ,3,1150000.0,7.0,3208500
S0017,29/07/2026,Hyundai,Verna,Electric,Central,Metro Cars,0,1150000.0,2.0,16905000
S0034,01-05-2026,Mahindra,Thar,  CNG  ,north,City Auto Hub,2,1300000.0,-5.0,2548000
S0062,2026-05-15,Maruti Suzuki,Alto,Electric,East,Elite Auto,3,450000.0,0.0,1350000
S0079,2026-06-10,Tata,Nexon,Electric,West,Elite Auto,1,900000.0,0.0,900000
S0100,14/04/2026,Mahindra,Thar,CNG,East,Metro Cars,12,1300000.0,5.0,14820000
